feature,class
"[-257.00793     143.21645     -63.392902     45.306725      8.43139
    3.3505788     5.333435    -15.17242      -2.084895     -5.523024
   -8.152514     -3.2761295    -5.22111      -2.6661541    -2.2277
   -0.8123754    -2.7946672    -3.750046      1.448248     -4.727507
   -8.427304     -7.456912     -9.212689     -7.4820952    -3.3232512
    3.7576709     3.145227     -3.351732     -3.782883     -8.289742
   -9.656091     -3.4789011     3.968025      5.7473874     0.6014664
   -2.378828     -3.6847816    -0.94029754    2.4364781     5.905712  ]",Mayamalavagowla
"[-3.42479004e+02  1.21165253e+02 -2.87962818e+01  4.43904114e+01
  1.42614565e+01  5.08444452e+00  1.16426926e+01  2.32021809e+00
  3.04127145e+00 -5.97165562e-02 -3.72448993e+00 -2.54749238e-01
 -4.97683716e+00 -2.56919765e+00 -4.09819174e+00 -3.90521860e+00
 -7.32604980e+00 -6.34700537e+00 -1.43554008e+00 -2.70946360e+00
 -5.99182463e+00 -8.65402985e+00 -7.33797884e+00 -8.99721086e-01
 -2.01427126e+00 -5.03417850e-01  3.36629105e+00  1.98334229e+00
 -1.89667416e+00 -6.29557085e+00 -6.30369759e+00 -4.11904621e+00
  4.60150003e+00  4.26926661e+00 -2.22825742e+00 -2.72755432e+00
 -2.15976000e+00 -3.42904568e+00 -1.00370598e+00  5.95972109e+00]",Mayamalavagowla
"[-2.6517584e+02  1.4772835e+02 -5.9289680e+01  4.7248676e+01
 -4.7639143e-01  9.2501593e-01  1.4101279e+01 -4.7298603e+00
  2.0889528e+00 -4.5289235e+00 -7.3964143e+00 -2.4176697e-01
 -7.7283792e+00 -9.1155806e+00 -7.4076409e+00 -2.9567015e+00
 -7.0527263e+00 -4.1617808e+00 -2.4588923e+00 -7.9194441e+00
 -5.2544003e+00 -1.0402786e+01 -1.2594998e+01 -3.0725508e+00
 -7.5553828e-01  2.8178291e+00  6.8935828e+00  5.3835249e+00
  1.7243842e+00 -9.6241713e+00 -1.2160558e+01 -4.0081210e+00
  3.9361272e+00  5.4232173e+00 -2.2138913e+00 -4.1657944e+00
 -2.5614238e+00 -4.6855445e+00  3.8297138e-01  5.4165072e+00]",Mayamalavagowla
"[-265.8661     142.71452    -62.37273     47.353455     4.2607965
   -1.3006526    9.369998    -8.131495     1.8397869   -2.9025939
   -5.6841674   -5.247266    -5.5203876   -1.5765542   -7.225461
   -5.792337    -7.898412   -10.220809    -2.6964674   -4.6240478
   -7.5426884  -12.267985    -9.520352    -0.9744477   -2.301438
    5.1670156    8.716297     2.9595122    2.3767362   -6.9477024
  -13.087328    -3.5227334    4.9228888    1.2214081   -3.4129696
   -4.0566096   -7.6847706   -4.5265055    3.2714024    4.9901266]",Mayamalavagowla
"[-2.7087689e+02  1.4613509e+02 -5.9109337e+01  4.6947800e+01
  1.2827193e+00 -1.6718733e+00  1.1049901e+01 -4.1080694e+00
  3.6041884e+00 -4.8036156e+00 -7.8436799e+00 -6.5797515e+00
 -5.1568203e+00 -1.2475115e+00 -7.9079809e+00 -7.7932639e+00
 -9.3685989e+00 -8.0467730e+00 -1.5354986e+00 -5.1951818e+00
 -6.7549944e+00 -1.1090404e+01 -1.0492963e+01 -3.4131114e+00
 -2.6985428e+00  2.5157177e+00  5.1029563e+00  1.3294587e+00
  4.2216879e-01 -7.8287406e+00 -1.3750112e+01 -3.9358122e+00
  4.4804339e+00  2.5298991e+00 -2.8342010e-02 -1.4368821e+00
 -2.1796088e+00 -8.3381039e-01  1.6074977e+00  6.4639845e+00]",Mayamalavagowla
"[-288.0216      149.35812     -47.245678     37.415783     12.671129
    3.4971056     7.9866023     0.6817264     0.71488553   -1.0768315
   -5.5258574    -4.9679008    -6.239153     -1.6288067    -6.832521
   -3.575229     -5.0485463    -6.059846     -1.0974923    -2.515868
  -10.349592     -6.2440686    -7.2603526    -5.5774436    -2.1587734
    1.906584      2.7178416     1.4148035     2.4664237    -4.9006925
  -12.853177     -2.880489      5.8120475     1.5453361    -2.5636973
   -2.756347     -1.6941024    -2.7196267     1.1496149     7.5185256 ]",Mayamalavagowla
"[-354.0573     141.69968     26.293093    13.852002   -19.711206
   -9.161785    -5.255187    -9.260921   -20.252901     9.943616
   18.014036    -1.3197905    3.0864177   -4.073619    -5.3637023
   -2.496513    -8.017208     1.5073884   -7.70152     -4.1442943
    0.9680801  -13.544733    -8.7884035   -1.58563     -6.4593105
    3.1462417    1.3019816   -3.3241708    4.45966      1.3123015
   -9.2300825    2.5734265    1.6671169    2.1639931    9.434958
    1.3566414   -4.0094457   -3.5810716    1.5919455    4.640811 ]",Mayamalavagowla
"[-3.64732544e+02  1.27644356e+02  2.81051540e+01  2.35480614e+01
  8.16234112e+00 -9.54301929e+00 -1.13407793e+01 -7.14422607e+00
 -1.11629639e+01 -5.02014065e+00 -1.33222473e+00 -3.49136800e-01
 -3.14034724e+00  1.60708356e+00  1.63004315e+00 -6.43331289e+00
 -3.20387030e+00  2.52216411e+00 -7.01582956e+00 -4.99072504e+00
 -3.36358261e+00 -4.84579039e+00 -7.39911175e+00 -5.18309116e+00
 -4.34595823e+00 -1.95046473e+00 -2.37294030e+00  2.39925623e-01
  2.44737697e+00  1.59597051e+00 -3.44808745e+00 -9.71074343e-01
  2.17712498e+00  2.86135101e+00  3.24249959e+00  2.70338798e+00
 -1.22128353e-01 -1.53383374e+00 -1.93555546e+00  8.52560341e-01]",Mayamalavagowla
"[-3.5808014e+02  1.2553306e+02  3.2001930e+01  2.2871235e+01
 -1.4928946e+00 -1.0946998e+01 -1.6815231e+01 -1.2255884e+01
 -7.6849203e+00  1.4779500e+00 -3.6100742e-01 -6.3200378e+00
 -3.8747427e+00 -9.8334782e-02  1.4430109e+00 -6.6418881e+00
 -7.4653568e+00  1.4168731e+00 -3.7069793e+00 -6.8411217e+00
 -3.3396719e+00 -8.9330044e+00 -9.2736826e+00 -1.3262093e+00
 -6.4499950e-01  1.8627279e+00  2.0515144e+00  7.0752180e-01
  8.8215762e-01 -1.2181420e+00 -5.4415555e+00  1.4336797e+00
  1.5441417e+00 -1.3526239e+00  2.4830825e+00  9.4810832e-01
 -1.0216730e+00  1.1389048e+00 -1.8562086e-01 -2.2870776e-01]",Mayamalavagowla
"[-3.5875586e+02  1.4048027e+02  2.7321226e+01  9.6832361e+00
 -1.7051291e+01 -1.0411314e+01 -3.4843950e+00 -6.2959504e+00
 -1.1574433e+01  6.7436390e+00  6.9290910e+00 -3.3709171e+00
  7.3200065e-01 -5.0296764e+00 -3.2998066e+00 -4.9584737e+00
 -6.8402424e+00  7.2540383e+00 -3.6883543e+00 -9.0805378e+00
 -4.6417418e+00 -7.6034861e+00 -8.7967768e+00 -1.0246506e-01
 -7.4949348e-01 -5.4409432e+00  2.3916895e+00  1.4180186e+00
  2.4987164e+00  2.5603690e+00 -2.3888493e+00 -7.8778660e-01
  1.7364341e+00  3.5907962e+00  3.1856899e+00 -3.8176770e+00
 -4.1051879e+00 -4.8264432e+00  6.6347659e-01  1.9048685e+00]",Mayamalavagowla
